sample_ID,sample_name,sample_name_ID,sample_name_short,rock_type,rock_type_short,rock_type_ID,x3He_4He_vesicle,x3He_4He_vesicle_2s,x3He_4He_glass,x3He_4He_glass_2s,He_cc_STP_g_vesicle,He_cc_STP_g_glass,latitude,longitude,latitude_start,latitude_end,longitude_start,longitude_end,depth_m,depth_m_start,depth_m_end,location_ref,collection,expedition_ID,loihi_location_ID,location,rock_type_flag,rock_type_ref,rock_type_notes,rock_type_orig_dave,location_short,expedition,collection_type,depth_calc,lat_lon_calc,expedition_year,expedition_month,CO2_cc_STP_g_vesicle,CO2_ppm_vesicle,CO2_cc_STP_g_glass,CO2_ppm_glass,CO2_ppm_glass_stdev,H2O_wt_pct_glass,H2O_wt_pct_glass_stdev,Cl_wt_pct,S_wt_pct,K_wt_pct,Ti_wt_pct,F_wt_pct,SiO2_wt_pct,TiO2_wt_pct,Al2O3_wt_pct,FeO_wt_pct,MnO_wt_pct,MgO_wt_pct,CaO_wt_pct,Na2O_wt_pct,K2O_wt_pct,P2O5_wt_pct,total_wt_pct_old,Mg_number_old,Alkalinity_index,K_ppm,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Mo_ppm,Sn_ppm,Cs_ppm,Ba_ppm,Hf_ppm,Ta_ppm,W_ppm,Tl_ppm,Pb_ppm,Th_ppm,U_ppm,Sc_ppm,Ti_ppm,V_ppm,Mn_ppm,Ni_ppm,La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Gd_ppm,Tb_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm,x208Pb_204Pb,error_208Pb_204Pb,x207Pb_204Pb,error_207Pb_204Pb,x206Pb_204Pb,error_206Pb_204Pb
1,MIR 2335-2,MIR-2335-2,MIR 2335-2,Transitional Basalt,Tr,3,24.89210632,0.467390411,25.38251794,0.210787885,3.91745e-8,4.4762e-7,18.70230713,-155.1603797,NA,NA,NA,NA,5068,NA,NA,dg-IEDA-2023,MIR2335,1,1,South Rift,NA,NA,NA,NA,S. Rift,1990 MIR,dive,TRUE,NA,1990,NA,9.63e-4,1.8904256268403679,0.1288805,253,6.401058114,0.88721875,0.027947746,0.0782,0.16,0.559,1.731,0.069,48.28426,3.026256,14.3312004,10.99526,0.152626,6.782676,11.8051976,2.934208,0.7249186,0.3352738,99.3718764,NA,NA,5506,13.17,479,25.6,165,21.69,1.04,1.84,0.14,186,4.19,1.41,0.24,0.038,1.74,1.32,0.38,28.8,17693,363,1219,131.7,17.25,41.33,5.5,24.87,5.89,2.01,5.89,0.86,5.09,0.93,2.53,0.32,2.01,0.29,NA,NA,NA,NA,NA,NA
2,MIR 2335-5,MIR-2335-5,MIR 2335-5,Transitional Basalt,Tr,3,25.29178319,0.49197356,25.41828124,0.211003881,6.46683e-8,5.20674e-7,18.70487355,-155.1618853,NA,NA,NA,NA,5025,NA,NA,dg-IEDA-2023,MIR2335,1,1,South Rift,NA,NA,NA,NA,S. Rift,1990 MIR,dive,TRUE,NA,1990,NA,0.00216,4.2402070134737215,0.11920172727272728,234,16,0.877,0.025,0.093,0.165,0.609,1.829,0.062,47.838953,2.983746667,13.97103333,10.81953333,0.152657667,6.82386,11.948112,2.806013333,0.714625333,0.327948333,98.386483,NA,NA,5906,13.93,521,28.5,185.5,23.43,1.07,1.88,0.149,199,4.73,1.55,0.27,0.037,1.69,1.49,0.4,29.4,18107,370,1236,130.52,17.82,42.17,5.64,25.43,5.97,2.03,5.93,0.88,5.23,0.93,2.51,0.34,2.09,0.29,38.16525948,6.094e-4,15.47528257,2.408e-4,18.38440997,2.811e-4
3,MIR 2335-6,MIR-2335-6,MIR 2335-6,Transitional Basalt,Tr,3,25.32746431,0.266154166,NA,NA,9.1259e-8,NA,18.70060936,-155.183324,NA,NA,NA,NA,4983,NA,NA,dg-IEDA-2023,MIR2335,1,1,South Rift,NA,NA,NA,NA,S. Rift,1990 MIR,dive,TRUE,NA,1990,NA,0.00451,8.85339519942893,0.12633345454545455,248,10.47619048,0.885341497,0.026668752,0.0969,0.164,0.611,1.862,0.06,48.0117236,3.063212,14.57564,10.89326,0.1562286,6.160646,11.6513892,2.962564,0.7512064,0.343991,98.5698608,NA,NA,6360,15.23,534,26.9,179.4,24.45,1.18,2.03,0.164,213,4.59,1.55,0.29,0.044,1.97,1.5,0.44,27.4,18583,381,1268,107.78,18.45,45.25,5.86,26.06,6.09,2.08,6,0.88,5.09,0.94,2.48,0.33,2.02,0.28,NA,NA,NA,NA,NA,NA
4,MIR 2335-7,MIR-2335-7,MIR 2335-7,Transitional Basalt,Tr,3,24.33492,0.282985374,25.15598982,0.214984395,4.99582e-8,3.39373e-7,18.70568008,-155.1909184,NA,NA,NA,NA,4979,NA,NA,dg-IEDA-2023,MIR2335,1,1,South Rift,NA,NA,NA,NA,S. Rift,1990 MIR,dive,TRUE,NA,1990,NA,0.00199,3.90648701704292,0.12378640909090909,243,3.421509482,0.756494854,0.010244519,0.079,0.166,0.585,1.818,0.062,48.13888933,3.082643333,14.45313333,10.89868333,0.161148167,6.49629,11.7562665,2.897358333,0.7413735,0.335233167,98.961019,NA,NA,5991,14.22,515,24.5,164.3,22.94,1.08,1.97,0.144,199,4.01,1.39,0.27,0.038,1.74,1.31,0.42,28.6,18295,373,1260,120.87,18.47,43.51,5.79,25.68,6.14,2.06,6.09,0.9,5.25,0.96,2.51,0.34,2.1,0.29,NA,NA,NA,NA,NA,NA
5,MIR 2335-8,MIR-2335-8,MIR 2335-8,Transitional Basalt,Tr,3,24.42177464,0.312792344,NA,NA,4.47904e-8,NA,18.70696355,-155.1915216,NA,NA,NA,NA,4976,NA,NA,dg-IEDA-2023,MIR2335,1,1,South Rift,NA,NA,NA,NA,S. Rift,1990 MIR,dive,TRUE,NA,1990,NA,0.00122,2.394931739091639,0.1349934090909091,265,2.63645012,0.787988715,0.018357777,0.0825,0.18,0.575,1.809,0.067,48.22922,3.046804,14.3729388,10.9848,0.1607854,6.76274,11.8104308,2.95919,0.7321024,0.3324766,99.391488,NA,NA,5821,13.63,508,26.6,175.2,22.85,1.03,1.87,0.137,194,4.38,1.48,0.26,0.037,1.7,1.44,0.39,27.9,18517,388,1295,128.02,18.45,44.71,5.83,25.98,6.11,2.06,5.91,0.86,5.04,0.92,2.48,0.32,2.07,0.28,NA,NA,NA,NA,NA,NA
6,MIR 2335-9,MIR-2335-9,MIR 2335-9,Transitional Basalt,Tr,3,24.87421389,0.273248374,NA,NA,5.08839e-8,NA,18.7091054,-155.1909307,NA,NA,NA,NA,4971,NA,NA,dg-IEDA-2023,MIR2335,1,1,South Rift,NA,NA,NA,NA,S. Rift,1990 MIR,dive,TRUE,NA,1990,NA,0.00237,4.652449362005889,0.12174877272727273,239,5.510383245,0.801585302,0.009361232,0.0851,0.172,0.584,1.825,0.061,47.343144,2.970032,13.80416,11.57188,0.1664594,6.825566,12.4186788,2.773526,0.7096194,0.3094782,98.8925438,NA,NA,6117,14.5,551,29.2,192.3,24.58,1.11,1.91,0.154,210,4.91,1.65,0.27,0.038,1.74,1.58,0.42,29.1,19868,394,1318,110.29,20.33,47.35,6.38,28.57,6.78,2.26,6.56,0.96,5.72,1.04,2.76,0.37,2.26,0.32,38.15155934,4.57957e-4,15.47253541,8.77895e-4,18.37568244,7.68371e-4
7,MIR 2335-10,MIR-2335-10,MIR 2335-10,Transitional Basalt,Tr,3,24.36773705,0.369805733,NA,NA,2.7249e-8,NA,18.69362652,-155.1642794,NA,NA,NA,NA,5000,NA,NA,dg-IEDA-2023,MIR2335,1,1,South Rift,NA,NA,NA,NA,S. Rift,1990 MIR,dive,TRUE,NA,1990,NA,1.67e-4,0.3278308200231998,0.12480522727272728,245,4.19047619,0.774893062,0.008104003,0.0825,0.169,0.589,1.826,0.057,47.8746262,3.03218,14.24396,10.74956,0.1616748,6.624636,11.7850194,2.908316,0.7450964,0.3379616,98.4630304,NA,NA,5734,13.47,509,25.7,167.1,22.52,1.04,1.83,0.143,197,4.31,1.43,0.24,0.035,1.68,1.35,0.4,28.3,18493,389,1300,130.05,18.39,44.95,5.87,26.08,6.18,2.07,5.9,0.88,5.07,0.94,2.47,0.32,2.04,0.28,NA,NA,NA,NA,NA,NA
8,MIR 2335-11,MIR-2335-11,MIR 2335-11,Transitional Basalt,Tr,3,25.20777956,0.249531746,25.29067971,0.288259219,2.63053e-7,4.13572e-7,18.72764383,-155.1999757,NA,NA,NA,NA,4814,NA,NA,dg-IEDA-2023,MIR2335,1,1,South Rift,NA,dg-IEDA-2023,NA,TB,S. Rift,1990 MIR,dive,TRUE,NA,1990,NA,0.0169,33.1756937628268,0.12174877272727273,239,21.09160096,0.944887138,0.033530268,0.1008,0.181,0.648,1.795,0.087,48,3.11,14.59,11.52,0.17,5.94,11.37,3.15,0.82,0.37,99.04,50.5,0.64,6468,15.41,549,27.1,187.3,25.52,1.14,1.94,0.162,226,4.62,1.61,0.28,0.04,1.93,1.61,0.44,26.6,18175,370,1289,99.77,19.61,45.84,6.07,27.32,6.35,2.11,6.2,0.9,5.28,0.97,2.54,0.33,2.08,0.28,38.14349058,5.399e-4,15.47222936,2.322e-4,18.35496376,2.385e-4
9,MIR 2335-12,MIR-2335-12,MIR 2335-12,Tholeiite,Th,4,23.67366824,0.372478281,24.314944,0.311063519,1.59062e-8,1.37797e-7,18.72,-155.19,NA,NA,NA,NA,4614,NA,NA,dg-IEDA-2023,MIR2335,1,1,South Rift,NA,NA,NA,NA,S. Rift,1990 MIR,dive,TRUE,NA,1990,NA,0.0022,4.318729365575088,0.058582045454545456,115,7,1.434,0.04,0.1016,0.167,0.404,1.493,0.051,48.54089217,2.465665961,12.74174261,11.28940436,0.17720025,8.012105172,12.0336255,2.598545435,0.527,0.284026795,98.67020826,NA,NA,4776,11.05,391,18.5,117.2,17.99,0.96,1.87,0.107,145,2.91,1,0.24,0.034,1.53,0.97,0.37,30.9,15408,385,1431,171.87,13.92,36.18,4.5,20.12,4.62,1.67,4.7,0.68,4.1,0.74,1.97,0.26,1.6,0.22,NA,NA,NA,NA,NA,NA
10,MIR 2336-2,MIR-2336-2,MIR 2336-2,Transitional Basalt,Tr,3,25.20954532,0.199800715,25.30385306,0.185376861,1.40549e-7,6.12829e-7,18.74054936,-155.164707,NA,NA,NA,NA,4820,NA,NA,dg-IEDA-2023,MIR2336,1,1,South Rift,NA,dg-IEDA-2023,NA,TB,S. Rift,1990 MIR,dive,TRUE,NA,1990,NA,0.0101,19.826893905594716,0.11308881818181818,222,6,0.861,0.002,0.0948,0.173,0.644,1.807,0.075,47.95,3.02,14.1,11.35,0.16,6.6,11.67,3,0.78,0.34,98.97,53.5,0.47,6292,14.74,518,27.3,183.6,23.66,1.06,1.85,0.155,212,4.72,1.55,0.26,0.039,1.8,1.56,0.41,27.8,18353,377,1323,117.43,19.58,46.55,6.1,27.19,6.28,2.1,6.25,0.87,5.22,0.94,2.54,0.33,2.03,0.28,NA,NA,NA,NA,NA,NA
